Rv0139	16	0	23	141	59	3	29	243	37	275	551	285	240	46	8	115	12	280	298	767	127	102	145	129
Rv0140	0	0	15	109	20	0	49	106	1	142	91	32	0	34	2	87	0	15	318	3	3	3	311	2
Rv0141c	97	32	59	48	92	96	1	43	104	142	161	74	1	1	1	1	0	4	123	83	2	22	108	1
Rv0142	12	0	36	1	1	1	0	7	7	160	0	2	0	0	0	0	1	0	0	2	0	0	0	0
Rv0143c	16	44	109	171	93	35	12	161	62	171	260	130	179	133	2	60	3	229	165	246	358	208	3	6
Rv0144	253	201	446	677	429	129	170	449	251	3202	1891	1828	1998	295	812	247	437	1970	1125	1578	1529	395	365	615
Rv0145	504	586	708	899	446	338	518	1008	348	1805	1765	2697	1838	288	259	672	532	1383	509	2032	4109	681	278	458
Rv0146	120	189	328	341	125	23	162	374	110	966	347	1067	388	97	336	118	36	1035	521	829	978	430	465	216
Rv0147	171	277	499	543	305	574	239	710	433	1092	1239	1866	1352	496	647	808	1059	816	59	2339	2367	613	563	933
Rv0148	229	67	141	89	175	101	1	265	230	4	7	236	84	0	58	148	2	160	0	162	387	95	114	23
Rv0149	99	68	63	40	55	3	2	90	2	0	58	2	1	0	0	64	0	80	0	12	117	98	1	0
Rv0150c	0	0	1	0	48	0	0	31	0	0	0	0	0	0	130	98	0	0	0	0	0	85	0	0
Rv0151c	9	56	114	97	76	41	6	201	81	9	147	450	357	468	271	82	4	238	269	264	39	10	495	202
Rv0152c	2	0	52	12	51	0	94	0	0	145	8	183	0	111	168	51	0	86	73	127	23	160	170	0
Rv0153c	87	1	149	121	87	1	137	221	36	238	378	530	17	67	203	291	112	676	59	426	347	250	598	31
Rv0154c	44	46	90	93	135	147	130	93	68	631	1246	1086	796	56	404	335	631	131	171	207	1231	198	7	91
Rv0155	62	0	0	2	13	0	12	1	0	0	0	0	0	0	0	1	0	7	1	0	1	0	0	0
Rv0156	4	0	0	3	13	0	0	14	57	155	0	1	0	0	1	0	0	167	2	0	0	0	30	0
Rv0157	110	69	208	132	33	4	327	291	46	210	56	103	257	115	2	5	2	366	374	2	155	250	5	3
Rv0157A	0	29	21	13	5	84	0	0	10	0	1	0	0	0	54	0	0	0	0	0	0	0	0	1
