Rv0065	596	952	64	209	78	87	83	263	156	86	73	31	29	4	180
Rv0066c	10805	11490	2790	1150	681	366	1471	3292	2847	1684	5465	1154	411	82	3361
Rv0067c	1429	1242	266	315	409	32	88	514	189	112	420	177	28	7	384
Rv0068	342	1530	199	10	25	9	23	47	80	59	111	70	9	0	348
Rv0069c	2438	2243	382	87	130	13	67	748	637	565	416	13	110	7	570
Rv0070c	1660	2434	126	86	123	9	36	700	446	362	128	21	33	4	353
Rv0071	930	2908	557	270	157	83	182	392	184	161	199	36	29	3	923
Rv0072	5426	6107	737	511	268	46	287	1416	1484	1145	1291	251	169	35	1366
Rv0073	16328	4730	1243	1471	427	42	597	3225	3579	2525	2566	565	417	94	1494
Rv0074	4749	4630	1133	548	241	31	324	1594	1820	1219	961	171	238	36	1586
Rv0075	7229	4422	687	396	452	104	544	2244	2024	1205	2236	251	269	46	1131
Rv0076c	3429	1307	214	216	199	18	110	950	765	736	233	105	75	22	316
Rv0077c	633	1672	217	24	0	40	88	88	143	98	203	43	12	1	433
Rv0078	780	1233	206	128	96	66	88	152	181	136	171	4	19	2	315
Rv0078A	6640	4090	2376	1157	801	611	1519	2007	1514	913	4372	784	298	44	2737
Rv0078B	5752	3993	3988	1177	947	611	1892	1241	3091	1955	2604	719	348	70	6271
Rv0079	620	12749	39661	8265	4807	4624	7821	104	74	51	33396	13296	36	12	31868
Rv0080	376	3872	7266	1994	1039	1449	2770	46	74	62	7629	2089	22	3	6596
Rv0081	279	1156	442	781	904	68	470	84	144	163	568	1173	21	2	488
Rv0082	367	664	448	184	104	145	279	75	164	208	215	121	26	3	551
Rv0083	921	2210	523	380	90	169	373	260	224	222	375	77	31	7	843
Rv0084	572	1027	674	108	0	128	271	171	266	198	189	18	44	10	798
Rv0085	204	664	272	47	49	60	126	130	101	97	85	198	18	3	269
Rv0086	972	3186	777	161	166	228	651	373	500	524	537	189	105	24	1265
Rv0087	3495	2932	359	165	227	167	572	683	800	870	902	311	159	16	850
Rv0088	7453	3270	748	1097	1189	304	1070	2293	2010	1854	2842	866	306	45	1427
Rv0089	264	1412	28	12	54	26	24	92	63	68	83	0	5	2	220
Rv0090	138	1519	45	8	42	8	12	57	21	12	83	9	3	1	268
Rv0091	2239	2289	125	302	584	36	73	495	207	230	291	44	33	3	296
Rv0092	3618	4158	1342	610	404	278	549	814	769	480	1858	227	110	13	1580
Rv0093c	2614	2110	716	503	346	116	180	636	305	171	1177	461	56	5	1105
Rv0094c	344	1033	13	397	398	19	15	190	12	18	141	61	2	0	462
Rv0095c	1359	2361	221	503	410	172	130	552	141	83	267	101	12	4	487
Rv0096	478	4630	68	55	253	5	41	129	150	111	254	10	17	2	698
Rv0097	3062	5952	260	597	593	42	208	961	541	441	582	115	108	11	1095
Rv0098	5243	3592	146	127	427	50	234	1171	646	366	1182	700	164	28	507
Rv0099	1035	5090	288	140	144	22	94	350	277	162	243	8	40	3	739
Rv0100	472	682	51	75	15	14	48	74	64	39	160	48	5	2	80
Rv0101	9368	19144	1668	1512	1309	189	865	3294	2512	1920	2796	545	342	56	3983
Rv0102	3989	7774	3581	456	756	282	753	1438	1269	863	2414	410	232	32	4519
Rv0103c	8734	9008	2505	546	438	305	1208	2392	2890	1830	2786	184	414	51	3447
Rv0104	4203	5645	1252	362	431	150	561	1627	1339	816	955	263	177	21	2256
Rv0105c	177	739	7	0	8	5	10	91	24	32	0	0	5	1	86
Rv0106	619	2117	51	152	28	8	37	228	160	180	222	0	19	0	336
Rv0107c	10732	8120	2784	513	238	127	571	2765	4662	2900	5030	475	681	79	3447
Rv0108c	4849	801	586	135	214	17	112	1597	1197	631	939	160	104	4	874
Rv0109	6516	1696	209	164	464	48	196	1318	1000	600	941	428	137	13	545
Rv0110	3558	3002	236	229	158	12	110	1475	587	446	318	19	53	10	658
Rv0111	3850	7190	482	157	374	25	125	916	1109	884	746	126	150	22	1333
Rv0112	10416	7891	220	671	1549	35	563	4391	2489	2281	929	516	203	63	1355
Rv0113	5235	2678	191	503	805	40	228	1990	1135	998	457	369	122	16	521
Rv0114	1402	2401	60	12	95	7	72	452	287	303	149	30	26	8	303
Rv0115	1430	5202	326	541	339	26	190	566	709	453	786	96	68	19	668
