"Gene_ID"	"SRR8368679"	"SRR8368680"	"SRR8368681"	"SRR8368682"	"SRR8368683"	"SRR8368684"
"Rv2006"	289	359	359	317	321	376
"Rv2007c"	20	53	78	27	33	48
"Rv2008c"	21	35	31	30	27	72
"Rv2009"	19	37	48	32	51	39
"Rv2010"	73	98	102	87	103	69
"Rv2011c"	22	21	17	35	22	29
"Rv2012"	8	9	15	14	12	28
"Rv2015c"	86	94	92	110	101	50
"Rv2016"	77	58	69	73	67	53
"Rv2017"	47	51	54	50	57	73
"Rv2018"	111	132	134	125	128	65
"Rv2019"	73	82	85	77	66	48
"Rv2021c"	127	168	179	114	141	75
"Rv2022c"	114	122	118	119	104	56
"Rv2023c"	48	37	43	40	41	40
"Rv2024c"	329	435	450	338	394	260
"Rv2025c"	48	46	54	48	58	67
"Rv2026c"	78	101	131	78	121	101
"Rv2027c"	158	159	163	158	175	173
"Rv2028c"	19	19	21	17	14	42
"Rv2029c"	25	20	13	18	15	39
"Rv2030c"	48	73	69	39	36	216
"Rv2031c"	16	92	130	17	46	187
"Rv2032"	35	88	103	33	60	125
"Rv2033c"	139	206	216	141	171	200
"Rv2034"	23	26	37	22	19	23
"Rv2035"	45	55	55	47	51	53
"Rv2036"	67	83	95	82	70	93
"Rv2037c"	95	146	147	110	126	154
"Rv2038c"	34	45	45	46	46	58
"Rv2039c"	28	23	22	28	32	59
"Rv2040c"	43	45	44	50	60	40
"Rv2041c"	83	97	109	95	95	145
"Rv2042c"	90	123	139	101	129	99
"Rv2043c"	122	161	158	166	178	131
"Rv2044c"	15	22	15	13	10	14
"Rv2045c"	309	334	363	298	338	187
"Rv2046"	159	149	156	129	128	83
"Rv2047c"	249	318	365	272	305	281
"Rv2048c"	1858	2178	2245	1779	2043	1388
"Rv2049c"	148	183	207	165	149	72
"Rv2050"	224	228	223	286	214	93
"Rv2051c"	817	1050	1061	970	1014	522
"Rv2052c"	241	270	300	333	346	222
"Rv2053c"	200	153	189	293	293	106
"Rv2054"	221	179	216	191	171	123
"Rv2055c"	52	45	42	48	68	44
"Rv2056c"	3	3	2	1	2	6
"Rv2057c"	2	0	1	4	3	3
"Rv2058c"	2	12	6	6	4	5
